Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type,Breakdown,Major_Cause
294.9816047538945,295.17150135706356,1333.2392719095153,35.70234102415436,201.8108982626694,M,1,Power Failure
318.0285722563966,318.3274764135221,1975.4217052810445,34.81872794431999,239.0044191574117,H,0,No Failure
309.2797576724562,310.43621055476257,2571.302504577535,74.3752748312622,75.1403696377497,M,1,Tool Wear Failure
303.9463393678815,304.25034240468113,2318.00479553721,34.972771990970365,187.46222988209968,L,0,No Failure
286.2407456176975,286.78519571133296,2451.8100661506096,36.316983567717855,171.5237949431246,L,0,No Failure
286.2397808134481,286.61605615450617,2185.8100600792914,65.56389574507782,249.84911303648133,L,1,Random Failures
282.323344486728,282.92487351136106,2246.0978161321345,46.984390547032405,271.82611814437814,M,0,No Failure
314.6470458309974,315.6601624219021,2528.5521728175745,66.60263341731087,3.6470314432160422,M,0,No Failure
304.0446004697284,304.1501378076555,1449.4024159465348,23.921969453863113,202.20597571763778,M,1,Overstrain Failure
308.3229031118418,308.707690939674,1880.964934557653,49.25427162040306,15.550739735918706,L,0,No Failure
280.8233797718321,280.9148366893647,1398.176995275284,22.01681601099696,164.65759952320678,L,0,No Failure
318.7963940864798,319.1519024406475,2777.8024143939647,23.75919220732127,86.28981871310346,M,1,Tool Wear Failure
313.29770563201686,314.22578075781826,2699.306811435904,74.38624720066466,92.03297985664236,M,1,Overstrain Failure
288.49356442713105,288.647476805157,1070.9682604633106,28.35472226705571,105.88755103570698,L,0,No Failure
287.272998688284,287.6396416508488,2270.0353105282393,51.94524093651303,186.38773471488304,M,0,No Failure
287.33618039413733,287.71446744524627,2665.4469713481985,44.66573615604239,100.21498970063077,L,1,Overstrain Failure
292.1696897183815,292.300507855557,1325.0356212292004,40.84059957553056,219.80971517708412,H,0,No Failure
300.99025726528953,301.53939134423064,2022.301414994733,73.99000074123634,121.35821567216091,H,0,No Failure
297.27780074568466,297.54474626955016,2647.8789356584753,21.30940380652937,20.505960092987586,L,0,No Failure
291.6491656079217,292.03401284582645,1061.102761454438,59.82738117053535,235.12795274523216,L,0,No Failure
304.4741157888952,305.3882523814765,2255.3564810443117,77.80366605281303,85.7274973778118,M,0,No Failure
285.57975442608165,285.9234446093309,1535.2282132705914,53.610091007710515,129.83006387977878,L,0,No Failure
291.6857859414087,293.00277389505607,2663.9131516777547,76.20934772198551,205.63316496657046,M,0,No Failure
294.65447373174766,295.00051118259086,2747.9048412976617,23.135472757161427,99.7368471446136,H,0,No Failure
298.24279936868146,299.02064363635156,2699.679680404181,45.12759914444968,16.97569684401469,M,0,No Failure
311.40703845572057,311.70983374733976,1853.5855899834348,35.60946745772307,112.17631410384408,H,0,No Failure
287.9869512863344,288.5389276676527,2551.6767717807643,63.84925789884379,283.33457480829105,M,0,No Failure
300.5693775365445,301.05997918999884,2520.1889173631266,78.8778254298348,192.52031918956746,L,0,No Failure
303.6965827544817,304.00157233630347,1574.38085183786,35.39180374665487,201.4437446001621,M,1,Power Failure
281.8580165087999,282.2675634181121,2492.0478534712192,59.250476088444465,189.68464609129197,M,0,No Failure
304.30179407605755,304.4236793316686,1066.6137424878866,31.885857965584407,59.69764168783104,M,0,No Failure
286.8209649474917,287.3362379280745,2073.2857812676957,53.919815274296596,125.50015923068403,L,0,No Failure
282.6020637194112,282.92348328275546,1414.0159071178655,47.83594920130017,225.28193950899546,L,1,Tool Wear Failure
317.95542149013335,318.4237463024014,1217.0203943991019,78.32031977789222,30.411869265947743,H,0,No Failure
318.62528132298235,318.8166494512448,1138.5157629325765,56.51163636178799,83.35583282691368,L,0,No Failure
312.3358939246584,312.6984689519641,2253.3197965806517,40.97038232520913,82.89573253975608,H,0,No Failure
292.1845507669348,292.40035529688095,1611.774934782519,26.845747093276003,129.6056782783518,H,0,No Failure
283.9068845602554,284.3465522021813,2304.580188751771,29.074809724096074,294.1106222826555,M,1,Tool Wear Failure
307.3693210604863,307.57463272364834,1117.6414134380962,33.519015797074104,20.250764005146582,M,0,No Failure
297.6060997495841,297.95510895261776,1567.5226080950986,35.05799968041788,155.61029831417852,M,0,No Failure
284.88152939379114,285.6705237559309,1971.084326275607,71.03696347046827,53.80940460366313,H,0,No Failure
299.8070764044508,300.4409875259093,2423.3016967101344,53.6733672969515,291.2029636229232,L,0,No Failure
281.37554084460874,281.62546143392854,1573.754505277726,51.403454682461984,33.99105141823926,M,0,No Failure
316.3728160831513,316.6706134778946,2126.6044775866167,26.886132312153048,121.08030070847737,M,0,No Failure
290.3511992640007,291.283035394421,2594.759946825137,71.6083816009661,221.36549545038184,M,1,Tool Wear Failure
306.50089137415927,307.1585173983288,2108.5537387281483,63.36885819250902,211.36632840823358,M,1,Random Failures
292.4684430435764,292.6193374602648,1419.3270545565408,24.060101714000094,126.81859106817967,M,0,No Failure
